Feelings	Functions	Attributes	Numbers
Pensiveness, Sadness, Grief, Loathing, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	          	X LENGTH = 37.924693, Y Length = 81.137075, Height = 74.202025, Number of Points = 7.231137, Distribution Seed = 1.119107, Mesh Relaxation = 0.905141, Smooth Level = 1, 	1
Pensiveness, Sadness, Grief, Admiration, Disgust, Boredom, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	  Vertical Circulation,        	X LENGTH = 17.987917, Y Length = 26.557687, Height = 28.718845, Number of Points = 79.899138, Distribution Seed = 59.347185, Mesh Relaxation = 0.059347, Smooth Level = 1, 	2
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Rage, Anger, Apprehension, Amazement, Anticipation, Focus, 	 Horizontal Circulation,         	X LENGTH = 84.039851, Y Length = 56.255192, Height = 87.162955, Number of Points = 45.078433, Distribution Seed = 25.717277, Mesh Relaxation = 0.81177, Smooth Level = 1, 	3
Pensiveness, Sadness, Grief, Loathing, Disgust, Boredom, Rage, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation,  Work,      	X LENGTH = 81.342217, Y Length = 53.05462, Height = 93.448845, Number of Points = 12.693545, Distribution Seed = 62.330031, Mesh Relaxation = 0.321473, Smooth Level = 1, 	4
Pensiveness, Sadness, Grief, Admiration, Trust, Boredom, Rage, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	 Horizontal Circulation,         	X LENGTH = 84.041747, Y Length = 14.408164, Height = 35.469033, Number of Points = 69.254333, Distribution Seed = 48.945884, Mesh Relaxation = 0.165827, Smooth Level = 1, 	5
Pensiveness, Sadness, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	 Horizontal Circulation,         	X LENGTH = 67.114049, Y Length = 18.46963, Height = 49.065556, Number of Points = 9.061683, Distribution Seed = 14.640827, Mesh Relaxation = 0.520784, Smooth Level = 1, 	6
Pensiveness, Sadness, Ecstasy, Admiration, Disgust, Boredom, Terror, Fear, Annoyance, Amazement, Surprise, Distraction, 	  Vertical Circulation,        	X LENGTH = 18.06742, Y Length = 82.872735, Height = 17.027362, Number of Points = 5.734589, Distribution Seed = 61.602199, Mesh Relaxation = 0.823404, Smooth Level = 2, 	7
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Anger, Annoyance, Amazement, Anticipation, Focus, 	  Vertical Circulation,        	X LENGTH = 79.591078, Y Length = 42.857065, Height = 89.344589, Number of Points = 86.687916, Distribution Seed = 86.909655, Mesh Relaxation = 0.891776, Smooth Level = 1, 	8
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Anger, Annoyance, Amazement, Surprise, Focus, 	Habitation,    Work,      	X LENGTH = 60.419935, Y Length = 80.142652, Height = 45.719394, Number of Points = 81.025785, Distribution Seed = 12.33225, Mesh Relaxation = 0.971813, Smooth Level = 1, 	9
Pensiveness, Sadness, Grief, Loathing, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation,        	X LENGTH = 48.108715, Y Length = 74.60079, Height = 98.640004, Number of Points = 28.730051, Distribution Seed = 39.23427, Mesh Relaxation = 0.768711, Smooth Level = 1, 	10
Pensiveness, Joy, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	          	X LENGTH = 66.900101, Y Length = 24.325932, Height = 36.444317, Number of Points = 77.673411, Distribution Seed = 9.776205, Mesh Relaxation = 0.499022, Smooth Level = 2, 	11
Pensiveness, Sadness, Grief, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	  Vertical Circulation,        	X LENGTH = 62.396546, Y Length = 43.941649, Height = 52.826862, Number of Points = 15.258697, Distribution Seed = 45.701455, Mesh Relaxation = 0.513543, Smooth Level = 1, 	12
Pensiveness, Sadness, Grief, Admiration, Trust, Boredom, Rage, Fear, Apprehension, Vigilance, Surprise, Distraction, 	          	X LENGTH = 67.025147, Y Length = 59.82578, Height = 11.9325, Number of Points = 63.140687, Distribution Seed = 5.703849, Mesh Relaxation = 0.95272, Smooth Level = 1, 	13
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Anger, Apprehension, Amazement, Surprise, Distraction, 	 Horizontal Circulation,         	X LENGTH = 98.016327, Y Length = 20.103331, Height = 86.963283, Number of Points = 27.042064, Distribution Seed = 81.171994, Mesh Relaxation = 0.633572, Smooth Level = 2, 	14
Pensiveness, Sadness, Grief, Loathing, Disgust, Boredom, Rage, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,    Work,      	X LENGTH = 16.399285, Y Length = 60.739985, Height = 26.748928, Number of Points = 97.874605, Distribution Seed = 15.471638, Mesh Relaxation = 0.753987, Smooth Level = 1, 	15
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Anger, Annoyance, Amazement, Surprise, Focus, 	 Horizontal Circulation,         	X LENGTH = 66.444055, Y Length = 83.413108, Height = 45.924884, Number of Points = 30.38532, Distribution Seed = 8.677018, Mesh Relaxation = 0.083197, Smooth Level = 1, 	16
